"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Het Funen";"       9"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kadijken";"      38"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kazernebuurt";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Afrikahaven";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Amerikahaven";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westhaven-Noord";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Petroleumhaven";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vervoerscentrum";"       6"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westhaven-Zuid";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Coenhaven";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vlothaven";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervahaven-Noordoost";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervahaven-Noordwest";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervahaven-Zuidwest";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Minervahaven-Zuidoost";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Alfa-driehoek";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hemknoop-Noord";"       2"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Isolatorbuurt";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Contactbuurt";"       2"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Woon- en Groengebied Sloterdijk";"      17"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hemknoop-Zuid";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Overbraker Binnenpolder";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zaanstraat emplacement";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spaarndammerbuurt-Noordwest";"      21"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spaarndammerbuurt-Midden";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spaarndammerbuurt-Zuidwest";"      14"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spaarndammerbuurt-Noordoost";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zeeheldenbuurt";"      18"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westergasfabriek";"      43"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spaarndammerbuurt-Zuidoost";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Houthavens-West";"      31"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Houthavens-Oost";"       2"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kolenkitbuurt-Noord";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kolenkitbuurt-Zuid";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Laan van Spartaan";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Robert Scottbuurt-West";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bosleeuw";"      45"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Gibraltarbuurt";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bedrijventerrein Landlust";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Landlust-Noord";"      17"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Erasmusparkbuurt-Oost";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Landlust-Zuid";"      39"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Robert Scottbuurt-Oost";"      12"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Erasmusparkbuurt-West";"      55"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bedrijvencentrum Westerkwartier";"      29"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"GWL-terrein";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Markthallen";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marcanti";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westerstaatsman";"      24"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Fannius Scholtenbuurt";"      25"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Staatsliedenbuurt-Noordoost";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"De Wittenbuurt-Noord";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"De Wittenbuurt-Zuid";"       6"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Buyskade e.o.";"      27"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Frederik Hendrikbuurt-Noord";"      47"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Frederik Hendrikbuurt-Zuidwest";"      14"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Frederik Hendrikbuurt-Zuidoost";"      57"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Mercatorpark";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Orteliusbuurt-Noord";"       6"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Jan Maijenbuurt";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"John Franklinbuurt";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Pieter van der Doesbuurt";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Trompbuurt";"      38"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Geuzenhofbuurt";"       9"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Orteliusbuurt-Midden";"      17"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Balboaplein e.o.";"      30"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Orteliusbuurt-Zuid";"       9"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Columbusplein e.o.";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Filips van Almondekwartier";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kortenaerkwartier";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Van Brakelkwartier";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"De Wester Quartier";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bellamybuurt-Noord";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bellamybuurt-Zuid";"      73"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Da Costabuurt-Noord";"      98"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Postjeskade e.o.";"      21"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Paramariboplein e.o.";"      49"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Lootsbuurt";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Borgerbuurt";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Da Costabuurt-Zuid";"      26"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Cremerbuurt-West";"      67"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vondelparkbuurt-West";"      36"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Cremerbuurt-Oost";"      44"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"WG-terrein";"      58"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Helmersbuurt-Oost";"      46"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vondelparkbuurt-Midden";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vondelparkbuurt-Oost";"      24"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterdijk De Heining";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterdijk Poort-Noord";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterdijk Poort-Zuid";"       4"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterdijk Rhônepark";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterdijk Donauhoek";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bretten-West";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bretten-Oost";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterdijk Stationskwartier";"     206"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Osdorper Binnenpolder";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"De Eendracht";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Ruys de Beerenbrouckbuurt";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Eendrachtspark";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Van Tijenbuurt";"       4"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Dudokbuurt";"       9"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bakemabuurt";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Wegener Sleeswijkbuurt";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Jan de Louterbuurt";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Lodewijk van Deysselbuurt";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Confuciusbuurt";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Arondeusbuurt";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Coronelbuurt";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Meerwaldtbuurt";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Dobbebuurt";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Dichtersbuurt";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Louis Couperusbuurt";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Noordoever Sloterplas";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterpark";"      12"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Osdorper Bovenpolder";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Ookmeer";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bedrijvenpark Lutkemeer";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Middelveldsche Akerpolder";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"De Aker-West";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"De Aker-Oost";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bedrijvencentrum Osdorp";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Dijkgraafpleinbuurt";"      17"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Reimerswaal";"      12"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Botteskerkbuurt";"       9"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zuidwestkwadrant-Noord";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zuidwestkwadrant-Zuid";"      35"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Wildeman";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Meer en Oever";"      14"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Osdorpplein e.o.";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Calandlaan/Lelylaan";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Osdorp-Zuidoost";"      23"
